Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,04-14 Percentage,Total Enplanements,CY 14 Enplanements,CY 13 Enplanements,CY 12 Enplanements,CY 11 Enplanements,CY 10 Enplanements,CY 09 Boardings,CY 08 Boardings,CY2007 Enplanements,CY 2006 Enplanements,CY 05 Enplanements,CY 04 Enplanements
1458,WP,CA,O55,Bieber,Southard Field,GA,None,0%,1,0,,,,,,,,,1,0
1464,WP,CA,PAO,Palo Alto,Palo Alto,GA,None,0%,138,2,4,0,6,6,,,8,100,11,1
1476,WP,CA,SNS,Salinas,Salinas Municipal,GA,None,0%,"2,118",4,32,1800,58,44,7,33,30,66,30,14
1403,NE,CT,4B8,Plainville,Robertson Field,GA,None,0%,31,0,6,2,17,6,,,,,,
1397,SO,FL,07FA,Key Largo,Ocean Reef Club,GA,None,0%,544,0,243,25,11,30,3,25,27,163,4,13
1436,SO,FL,FPR,Fort Pierce,Treasure Coast International,GA,None,0%,553,23,120,16,,,31,131,115,79,3,35
1449,SO,FL,LNA,West Palm Beach,Palm Beach County Park,GA,None,0%,8,2,,,2,0,,,2,2,,
1416,SO,GA,AMG,Alma,Bacon County,GA,None,0%,1,0,,,,,1,0,,,,
1441,SO,GA,HQU,Thomson,Thomson-McDuffie County,GA,None,0%,147,33,86,10,,,,,13,0,2,3
1481,NM,ID,U78,Soda Springs,Allen H Tigert,GA,None,0%,11,2,,,,,5,0,4,0,,
1432,GL,IL,FEP,Freeport,Albertus,GA,None,0%,20,3,2,1,,,,,8,6,,
1415,GL,IN,AID,Anderson,Anderson Municipal-Darlington Field,GA,None,0%,43,3,2,8,,,2,21,,,2,5
1444,GL,IN,IMS,Madison,Madison Municipal,GA,None,0%,34,0,34,0,,,,,,,,
1468,GL,IN,PPO,La Porte,La Porte Municipal,GA,None,0%,514,3,23,0,,,3,33,42,136,250,24
1411,CE,KS,AAO,Wichita,Colonel James Jabara,GA,None,0%,"1,028",9,154,0,14,79,148,366,70,41,30,117
1455,CE,KS,MPR,McPherson,McPherson,GA,None,0%,"1,272",3,10,0,,,2,1232,14,11,,
1480,CE,KS,TOP,Topeka,Philip Billard Municipal,GA,None,0%,847,0,41,62,171,7,4,118,15,6,155,268
1399,NE,MA,1B9,Mansfield,Mansfield Municipal,GA,None,0%,79,0,18,10,4,32,2,7,6,0,,
1419,NE,ME,B19,Biddeford,Biddeford Municipal,GA,None,0%,16,0,,,,,10,6,,,,
1412,GL,MI,ACB,Bellaire,Antrim County,GA,None,0%,674,0,33,2,1,0,75,116,40,50,109,248
1421,GL,MI,BTL,Battle Creek,W K Kellogg,GA,None,0%,"3,182",2,95,81,286,269,210,168,654,206,406,805
1423,GL,MI,C91,Dowagiac,Dowagiac Municipal,GA,None,0%,0,0,,,,,,,,,,
1434,GL,MI,FKS,Frankfort,Frankfort Dow Memorial Field,GA,None,0%,54,8,,,,,,,10,16,5,15
1438,CE,MO,GPH,Mosby,Midwest National Air Center,GA,None,0%,17,5,6,0,,,,,6,0,,
1440,SO,MS,GWO,Carroll (County),Greenwood-Leflore,GA,None,0%,76,8,36,0,5,7,5,5,,,5,5
1469,SO,MS,PQL,Pascagoula,Trent Lott International,GA,None,0%,125,0,71,0,,,,,1,11,18,24
1408,NM,MT,9S5,Three Forks,Three Forks,GA,None,0%,0,0,,,,,,,,,,
1433,SO,NC,FFA,Kill Devil Hills,First Flight,GA,None,0%,28,0,,,4,4,1,19,,,,
1409,CE,NE,9V5,Rushville,Modisett,GA,None,0%,0,0,,,,,,,,,,
1451,EA,NY,MGJ,Montgomery,Orange County,GA,None,0%,146,2,6,8,,,,,7,0,95,28
1459,EA,NY,OIC,Norwich,Lt Warren Eaton,GA,None,0%,27,8,,,,,,,7,5,2,5
1467,EA,NY,POU,Poughkeepsie,Dutchess County,GA,None,0%,412,12,115,28,12,29,14,44,36,57,20,45
1398,GL,OH,16G,Tiffin,Seneca County,GA,None,0%,"1,486",0,,,,,,,347,387,275,477
1413,SW,OK,ADM,Ardmore,Ardmore Municipal,GA,None,0%,101,0,7,9,60,0,,,9,7,2,7
1452,SW,OK,MIO,Miami,Miami Regional,GA,None,0%,49,0,2,28,,,2,4,6,7,,
1466,SW,OK,PNC,Ponca City,Ponca City Regional,GA,None,0%,"3,250",9,17,12,,,3,16,18,813,863,1499
1404,NM,OR,4S1,Gold Beach,Gold Beach Municipal,GA,None,0%,213,0,,,6,0,3,11,86,103,4,0
1405,NM,OR,4S9,Mulino,Mulino State,GA,None,0%,0,0,,,,,,,,,,
1417,NM,OR,AST,Astoria,Astoria Regional,GA,None,0%,"16,735",4,17,334,1383,3482,1531,1851,2646,5476,5,6
1461,NM,OR,ONP,Newport,Newport Municipal,GA,None,0%,"6,375",3,4,7,1150,3027,1999,23,28,96,28,10
1471,NM,OR,S30,Lebanon,Lebanon State,GA,None,0%,0,0,,,,,,,,,,
1479,NM,OR,TMK,Tillamook,Tillamook,GA,None,0%,3,0,,,3,0,,,,,,
1414,EA,PA,AFJ,Washington,Washington County,GA,None,0%,"1,248",56,84,46,129,3,331,78,70,115,153,183
1462,EA,PA,OQN,West Chester,Brandywine,GA,None,0%,14,2,,,4,0,,,3,5,,
1470,EA,PA,PTW,Pottstown,Heritage Field,GA,None,0%,49,0,,,2,3,,,14,4,10,16
1482,EA,PA,W05,Gettysburg,Gettysburg Regional,GA,None,0%,11,0,2,0,5,4,,,,,,
1437,SO,SC,GGE,Georgetown,Georgetown County,GA,None,0%,274,5,79,1,,,,,38,59,53,39
1407,GL,SD,9D1,Gregory,Gregory Municipal - Flynn Field,GA,None,0%,11,11,,,,,,,,,,
1420,SO,TN,BGF,Winchester,Winchester Municipal,GA,None,0%,180,0,39,0,,,1,5,4,17,7,107
1429,SO,TN,DKX,Knoxville,Knoxville Downtown Island,GA,None,0%,106,0,,,,,1,38,15,29,8,15
1454,SO,TN,MOR,Morristown,Moore-Murrell,GA,None,0%,423,20,35,0,,,15,8,49,23,18,255
1439,SW,TX,GTU,Georgetown,Georgetown Municipal,GA,None,0%,151,10,19,18,,,3,18,14,62,3,4
1448,SW,TX,LFK,Lufkin,Angelina County,GA,None,0%,89,0,76,0,,,2,0,2,0,9,0
1478,SW,TX,SWW,Sweetwater,Avenger Field,GA,None,0%,11,0,7,4,,,,,,,,
1400,NM,UT,1L7,Escalante,Escalante Municipal,GA,None,0%,9,9,,,,,,,,,,
1453,NM,UT,MLF,Milford,Milford Municipal/Ben and Judy Briscoe Field,GA,None,0%,8,0,3,0,4,0,,,1,0,,
1427,EA,VA,DAN,Danville,Danville Regional,GA,None,0%,433,12,7,16,6,11,4,102,50,127,48,50
1430,NE,VT,EFK,Newport,Newport State,GA,None,0%,94,0,,,16,0,11,56,2,9,,
1428,NM,WA,DEW,Deer Park,Deer Park,GA,None,0%,102,1,,,,,8,6,20,5,16,46
1460,NM,WA,OMK,Omak,Omak,GA,None,0%,297,16,3,10,2,23,48,25,14,69,56,31
1465,NM,WA,PLU,Puyallup,Pierce County - Thun Field,GA,None,0%,32,0,3,0,3,11,,,15,0,,
1472,NM,WA,S40,Prosser,Prosser,GA,None,0%,31,4,13,0,,,,,,,6,8
1473,NM,WA,S50,Auburn,Auburn Municipal,GA,None,0%,94,4,16,28,11,9,16,2,4,4,,
1474,NM,WA,S95,College Place,Martin Field,GA,None,0%,0,0,,,,,,,,,,
1450,GL,WI,MFI,Marshfield,Marshfield Municipal,GA,None,0%,121,0,26,0,2,6,19,18,12,38,,
1443,EA,WV,I18,Ravenswood,Jackson County,GA,None,0%,0,0,,,,,,,,,,
1456,EA,WV,MRB,Martinsburg,Eastern WV Regional/Shepherd Field,GA,None,0%,206,0,34,8,8,2,2,21,52,11,1,67
1431,NM,WY,FBR,Fort Bridger,Fort Bridger,GA,None,0%,3,3,,,,,,,,,,
1442,NM,WY,HSG,Thermopolis,Hot Springs County,GA,None,0%,0,0,,,,,,,,,,
1544,SW,AR,SLG,Siloam Springs,Smith Field,GA,None,0%,6,6,,,,,,,,,,
1491,WP,AZ,40G,Grand Canyon,Valle,GA,None,0%,303,0,,,,,,,,,303,0
1502,WP,AZ,A09,Bullhead City,Eagle Airpark,GA,None,0%,2,0,,,2,0,,,,,,
1486,WP,CA,2O3,Angwin,Angwin-Parrett Field,GA,None,0%,1,0,,,,,,,,,1,0
1513,WP,CA,CVH,Hollister,Hollister Municipal,GA,None,0%,132,0,99,0,14,0,3,16,,,,
1518,WP,CA,DLO,Delano,Delano Municipal,GA,None,0%,2,0,,,1,1,,,,,,
1537,WP,CA,PVF,Placerville,Placerville,GA,None,0%,0,0,,,,,,,,,,
1539,WP,CA,RHV,San Jose,Reid-Hillview of Santa Clara County,GA,None,0%,4,0,,,,,,,,,4,0
1487,NM,CO,2V5,Wray,Wray Municipal,GA,None,0%,0,0,,,,,,,,,,
1503,NM,CO,AIB,Nucla,Hopkins Field,GA,None,0%,31,0,,,,,,,9,0,10,12
1523,NM,CO,GWS,Glenwood Springs,Glenwood Springs Municipal,GA,None,0%,1,0,,,1,0,,,,,,
1510,SO,FL,CEW,Crestview,Bob Sikes,GA,None,0%,40,0,7,3,1,4,1,0,,,16,8
1520,SO,FL,FIN,Bunnell,Flagler Executive,GA,None,0%,94,1,92,1,,,,,,,,
1555,SO,FL,X14,La Belle,La Belle Municipal,GA,None,0%,15,0,15,0,,,,,,,,
1554,SO,GA,WDR,Winder,Barrow County,GA,None,0%,6,0,,,2,0,,,,,2,2
1525,CE,IA,ICL,Clarinda,Schenck Field,GA,None,0%,7,1,,,,,1,0,1,4,,
1528,CE,IA,MXO,Monticello,Monticello Regional,GA,None,0%,266,3,12,0,4,23,14,29,22,50,26,83
1545,NM,ID,SMN,Salmon,Lemhi County,GA,None,0%,"6,076",0,,,2,0,2,392,1222,1812,1486,1160
1514,SW,LA,CWF,Lake Charles,Chennault International,GA,None,0%,"1,158",148,393,279,265,4,,,,,69,0
1488,NE,MA,3B0,Southbridge,Southbridge Municipal,GA,None,0%,6,0,,,6,0,,,,,,
1534,NE,MA,ORE,Orange,Orange Municipal,GA,None,0%,32,0,17,0,,,9,2,,,3,1
1498,NE,ME,8B0,Rangeley,Steven A Bean Municipal,GA,None,0%,42,0,,,,,7,21,1,12,1,0
1489,GL,MI,3TR,Niles,Jerry Tyler Memorial,GA,None,0%,86,0,3,0,,,1,36,33,2,11,0
1529,GL,MI,N98,Boyne City,Boyne City Municipal,GA,None,0%,10,3,,,,,,,,,3,4
1540,GL,MI,RMY,Marshall,Brooks Field,GA,None,0%,31,8,,,,,,,13,0,10,0
1547,GL,MI,TEW,Mason,Mason Jewett Field,GA,None,0%,43,0,,,,,,,8,19,9,7
1526,GL,MN,MML,Marshall,Southwest Minnesota Regional Marshall/Ryan Field,GA,None,0%,"3,372",6,20,0,,,,,8,12,3315,11
1538,GL,MN,RGK,Red Wing,Red Wing Regional,GA,None,0%,41,5,4,0,2,2,2,4,4,0,3,15
1546,GL,MN,SYN,Stanton,Stanton Airfield,GA,None,0%,0,0,,,,,,,,,,
1533,SO,MS,OLV,Olive Branch,Olive Branch,GA,None,0%,246,0,27,0,,,8,7,43,17,54,90
1484,NM,MT,0MT3,Hamilton,Stock Farm,GA,None,0%,0,0,,,,,,,,,,
1490,NM,MT,3U8,Big Sandy,Big Sandy,GA,None,0%,0,0,,,,,,,,,,
1494,NM,MT,6S5,Hamilton,Ravalli County,GA,None,0%,968,102,181,2,1,112,196,125,83,27,112,27
1497,NM,MT,7S0,Ronan,Ronan,GA,None,0%,126,0,6,0,,,5,0,5,0,110,0
1499,NM,MT,8S1,Polson,Polson,GA,None,0%,0,0,,,,,,,,,,
1500,NM,MT,97M,Ekalaka,Ekalaka,GA,None,0%,0,0,,,,,,,,,,
1501,NM,MT,9S2,Scobey,Scobey,GA,None,0%,0,0,,,,,,,,,,
1541,NM,MT,S09,Hot Springs,Hot Springs,GA,None,0%,0,0,,,,,,,,,,
1548,NM,MT,THM,Thompson Falls,Thompson Falls,GA,None,0%,42,0,,,,,30,0,1,5,6,0
1527,SO,NC,MRH,Beaufort,Michael J Smith Field,GA,None,0%,530,4,28,0,6,4,,,27,390,61,10
1515,GL,ND,D50,Crosby,Crosby Municipal,GA,None,0%,8,8,,,,,,,,,,
1516,GL,ND,D60,Tioga,Tioga Municipal,GA,None,0%,15,7,5,0,3,0,,,,,,
1511,CE,NE,CNP,Chappell,Billy G Ray Field,GA,None,0%,0,0,,,,,,,,,,
1521,CE,NE,GGF,Grant,Grant Municipal,GA,None,0%,9,2,,,,,,,7,0,,
1531,CE,NE,OGA,Ogallala,Searle Field,GA,None,0%,5,0,,,,,,,4,0,1,0
1532,CE,NE,OKS,Oshkosh,Garden County,GA,None,0%,0,0,,,,,,,,,,
1549,CE,NE,TIF,Thedford,Thomas County,GA,None,0%,0,0,,,,,,,,,,
1485,EA,NJ,17N,Cross Keys,Cross Keys,GA,None,0%,0,0,,,,,,,,,,
1492,EA,NY,44N,Millbrook,Sky Acres,GA,None,0%,37,4,,,,,2,29,1,1,,
1493,GL,OH,4I3,Mount Vernon,Knox County,GA,None,0%,335,1,93,36,,,4,3,55,143,,
1496,GL,OH,7G8,Middlefield,Geauga County,GA,None,0%,22,0,1,0,1,3,,,11,6,,
1504,GL,OH,AXV,Wapakoneta,Neil Armstrong,GA,None,0%,75,9,11,0,7,0,,,1,9,28,10
1542,GL,OH,S24,Fremont,Sandusky County Regional,GA,None,0%,92,0,,,5,0,,,20,21,20,26
1530,SW,OK,O38,Owasso,Gundys,GA,None,0%,0,0,,,,,,,,,,
1524,NM,OR,HRI,Hermiston,Hermiston Municipal,GA,None,0%,95,0,,,,,16,4,48,9,4,14
1506,EA,PA,BVI,Beaver Falls,Beaver County,GA,None,0%,6,4,2,0,,,,,,,,
1509,SO,SC,CEU,Seneca,Oconee County Regional,GA,None,0%,320,14,143,20,,,20,47,8,45,15,8
1512,SO,SC,CUB,Columbia,Jim Hamilton L B Owens,GA,None,0%,141,8,12,1,,,,,12,66,22,20
1522,SO,SC,GRD,Greenwood,Greenwood County,GA,None,0%,54,0,15,0,,,3,14,2,5,10,5
1495,GL,SD,6V5,Bison,Bison Municipal,GA,None,0%,0,0,,,,,,,,,,
1519,SO,TN,DYR,Dyersburg,Dyersburg Regional,GA,None,0%,295,0,3,0,6,2,,,23,252,9,0
1535,SW,TX,OSA,Mount Pleasant,Mount Pleasant Regional,GA,None,0%,18,0,9,0,,,2,3,,,2,2
1551,NM,UT,U69,Duchesne,Duchesne Municipal,GA,None,0%,28,0,,,,,,,,,28,0
1543,EA,VA,SFQ,Suffolk,Suffolk Executive,GA,None,0%,24,0,10,0,3,0,,,7,0,4,0
1553,NM,WA,VUO,Vancouver,Pearson Field,GA,None,0%,62,0,5,4,24,0,1,6,10,12,,
1505,GL,WI,BUU,Burlington,Burlington Municipal,GA,None,0%,37,1,8,5,10,1,1,0,5,6,,
1508,GL,WI,C02,Lake Geneva,Grand Geneva Resort,GA,None,0%,16,2,,,5,0,,,7,0,2,0
1517,GL,WI,DLL,Baraboo,Baraboo Wisconsin Dells,GA,None,0%,177,14,36,8,8,7,6,37,16,29,3,13
1536,GL,WI,PBH,Phillips,Price County,GA,None,0%,79,25,23,0,2,4,2,13,4,6,,
1552,GL,WI,UNU,Juneau,Dodge County,GA,None,0%,50,7,15,6,6,0,,,2,7,3,4
1507,NM,WY,BYG,Buffalo,Johnson County,GA,None,0%,12,1,4,0,,,,,3,4,,
1550,NM,WY,TOR,Torrington,Torrington Municipal,GA,None,0%,54,0,,,10,3,7,6,,,20,8
9999,WP,CA,OXR,Oxnard,Oxnard,GA,None,0%,"123,938",15,91,19,3,4074,12060,15961,21369,23731,22783,23832
9999,SW,TX,DRT,Del Rio,Del Rio International,GA,None,0%,"111,715",0,3288,11632,8438,13180,13436,16028,17651,16967,11094,1
,,,,,,,,100%,"8,053,377,614",,,,,,,,,,,
